Africa/Abidjan,+00:00,+00:00,GMT,GMT
Africa/Accra,+00:00,+00:00,GMT,GMT
Africa/Addis_Ababa,+03:00,+03:00,EAT,EAT
Africa/Algiers,+01:00,+01:00,CET,CET
Africa/Asmara,+03:00,+03:00,EAT,EAT
Africa/Asmera,+03:00,+03:00,EAT,EAT
Africa/Bamako,+00:00,+00:00,GMT,GMT
Africa/Bangui,+01:00,+01:00,WAT,WAT
Africa/Banjul,+00:00,+00:00,GMT,GMT
Africa/Bissau,+00:00,+00:00,GMT,GMT
Africa/Blantyre,+02:00,+02:00,CAT,CAT
Africa/Brazzaville,+01:00,+01:00,WAT,WAT
Africa/Bujumbura,+02:00,+02:00,CAT,CAT
Africa/Cairo,+02:00,+03:00,EGY,EGYST
Africa/Casablanca,+00:00,+01:00,GMT,WAT
Africa/Ceuta,+01:00,+02:00,CET,CEST
Africa/Conakry,+00:00,+00:00,GMT,GMT
Africa/Dakar,+00:00,+00:00,GMT,GMT
Africa/Dar_es_Salaam,+03:00,+03:00,EAT,EAT
Africa/Djibouti,+03:00,+03:00,EAT,EAT
Africa/Douala,+01:00,+01:00,WAT,WAT
Africa/El_Aaiun,+01:00,+01:00,CET,CET
Africa/Freetown,+00:00,+00:00,GMT,GMT
Africa/Gaborone,+02:00,+02:00,CAT,CAT
Africa/Harare,+02:00,+02:00,CAT,CAT
Africa/Johannesburg,+02:00,+02:00,SAST,SAST
Africa/Juba,+02:00,+02:00,CAT,CAT
Africa/Kampala,+03:00,+03:00,EAT,EAT
Africa/Khartoum,+02:00,+02:00,CAT,CAT
Africa/Kigali,+02:00,+02:00,CAT,CAT
Africa/Kinshasa,+01:00,+01:00,WAT,WAT
Africa/Lagos,+01:00,+01:00,WAT,WAT
Africa/Libreville,+01:00,+01:00,WAT,WAT
Africa/Lome,+00:00,+00:00,GMT,GMT
Africa/Luanda,+01:00,+01:00,WAT,WAT
Africa/Lubumbashi,+02:00,+02:00,CAT,CAT
Africa/Lusaka,+02:00,+02:00,CAT,CAT
Africa/Malabo,+01:00,+01:00,WAT,WAT
Africa/Maputo,+02:00,+02:00,CAT,CAT
Africa/Maseru,+02:00,+02:00,SAST,SAST
Africa/Mbabane,+02:00,+02:00,SAST,SAST
Africa/Mogadishu,+03:00,+03:00,EAT,EAT
Africa/Monrovia,+00:00,+00:00,GMT,GMT
Africa/Nairobi,+03:00,+03:00,EAT,EAT
Africa/Ndjamena,+01:00,+01:00,WAT,WAT
Africa/Niamey,+01:00,+01:00,WAT,WAT
Africa/Nouakchott,+00:00,+00:00,GMT,GMT
Africa/Ouagadougou,+00:00,+00:00,GMT,GMT
Africa/Porto-Novo,+01:00,+01:00,WAT,WAT
Africa/Sao_Tome,+00:00,+00:00,GMT,GMT
Africa/Timbuktu,+00:00,+00:00,GMT,GMT
Africa/Tripoli,+02:00,+02:00,CAT,CAT
Africa/Tunis,+01:00,+01:00,CET,CET
Africa/Windhoek,+02:00,+02:00,WAST,WAST
America/Adak,-10:00,-09:00,HST,HDT
America/Anchorage,-09:00,-08:00,AKST,AKDT
America/Anguilla,-04:00,-04:00,AsT,AsT
America/Antigua,-04:00,-04:00,AsT,AsT
America/Araguaina,-03:00,-03:00,BRT,BRT
America/Argentina/Buenos_Aires,-03:00,-03:00,ART,ART
America/Argentina/Catamarca,-03:00,-03:00,ART,ART
America/Argentina/ComodRivadavia,-03:00,-03:00,ART,ART
America/Argentina/Cordoba,-03:00,-03:00,ART,ART
America/Argentina/Jujuy,-03:00,-03:00,ART,ART
America/Argentina/La_Rioja,-03:00,-03:00,ART,ART
America/Argentina/Mendoza,-03:00,-03:00,ART,ART
America/Argentina/Rio_Gallegos,-03:00,-03:00,ART,ART
America/Argentina/Salta,-03:00,-03:00,ART,ART
America/Argentina/San_Juan,-03:00,-03:00,ART,ART
America/Argentina/San_Luis,-03:00,-03:00,ART,ART
America/Argentina/Tucuman,-03:00,-03:00,ART,ART
America/Argentina/Ushuaia,-03:00,-03:00,ART,ART
America/Aruba,-04:00,-04:00,AsT,AsT
America/Asuncion,-03:00,-04:00,PYST,PYT
America/Atikokan,-05:00,-05:00,EST,EST
America/Atka,-10:00,-09:00,HST,HDT
America/Bahia,-03:00,-03:00,BRT,BRT
America/Bahia_Banderas,-06:00,-06:00,CST,CST
America/Barbados,-04:00,-04:00,AsT,AsT
America/Belem,-03:00,-03:00,BRT,BRT
America/Belize,-06:00,-06:00,CST,CST
America/Blanc-Sablon,-04:00,-04:00,AsT,AsT
America/Boa_Vista,-04:00,-04:00,AMT,AMT
America/Bogota,-05:00,-05:00,COT,COT
America/Boise,-07:00,-06:00,MST,MDT
America/Buenos_Aires,-03:00,-03:00,ART,ART
America/Cambridge_Bay,-07:00,-06:00,MST,MDT
America/Campo_Grande,-04:00,-04:00,AMT,AMT
America/Cancun,-05:00,-05:00,EST,EST
America/Caracas,-04:00,-04:00,VET,VET
America/Catamarca,-03:00,-03:00,ART,ART
America/Cayenne,-03:00,-03:00,GFT,GFT
America/Cayman,-05:00,-05:00,EST,EST
America/Chicago,-06:00,-05:00,CST,CDT
America/Chihuahua,-06:00,-06:00,CST,CST
America/Ciudad_Juarez,-07:00,-06:00,MST,MDT
America/Coral_Harbour,-05:00,-05:00,EST,EST
America/Cordoba,-03:00,-03:00,ART,ART
America/Costa_Rica,-06:00,-06:00,CST,CST
America/Creston,-07:00,-07:00,MST,MST
America/Cuiaba,-04:00,-04:00,AMT,AMT
America/Curacao,-04:00,-04:00,AsT,AsT
America/Danmarkshavn,+00:00,+00:00,GMT,GMT
